idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,3.0,NaN,0.4188991191900761,0.6393401010457412,0.9854614100033201,0.9834573064613683
2,10.0,NaN,0.004107759335343423,0.003218085197519618,0.9768091934550498,0.006782680346367452
3,7.0,NaN,0.11944580478416555,0.23695692188271186,0.9691813364746382,0.38165592929961023
4,0.0,NaN,0.49038646460776864,0.8885719751353287,0.9910372281395653,0.9998839440378895
5,2.0,NaN,0.4552471452020139,0.6313081752338225,0.9887749692460611,0.9848958246061752
6,8.0,NaN,0.055064655494323766,0.10938083633479344,0.9769692541995505,0.19002519593781667
7,5.0,NaN,0.3061535376123831,0.4740955385577281,0.9811333301247552,0.6991176495683898
8,1.0,NaN,0.4889782663914668,0.7767144117913118,0.9939135725020278,0.9962654792732825
9,4.0,NaN,0.3622122171682965,0.6193320715319068,0.9830214979947928,0.9064668164871353
10,15.707,NaN,-0.001980699802309258,0.0,0.960300647926534,0.0
11,6.0,NaN,0.20175539633925924,0.34527367374323625,0.972360611167347,0.5277027052305636
