idx,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,NaN,0.4188991191900761,0.6393401010457412,0.9851713701866973,0.9919857037340661
2,NaN,0.004107759335343423,0.003218085197519618,0.9626591891578306,0.006776469767869857
3,NaN,0.11944580478416555,0.23695692188271186,0.9725739857991793,0.3773770942989509
4,NaN,0.49038646460776864,0.8885719751353287,0.9905941900152104,1.0000223269737558
5,NaN,0.4552471452020139,0.6313081752338225,0.9910593925742152,0.9870344549535093
6,NaN,0.055064655494323766,0.10938083633479344,0.9625539890942177,0.19102530227354222
7,NaN,0.3061535376123831,0.4740955385577281,0.9810124276495941,0.7026789400934267
8,NaN,0.4889782663914668,0.7767144117913118,0.9911515317438726,0.9962519869044429
9,NaN,0.3622122171682965,0.6193320715319068,0.9819070609561634,0.9087617360992178
10,NaN,-0.001980699802309258,0.0,0.960439551038004,0.0
11,NaN,0.20175539633925924,0.34527367374323625,0.9734154768865382,0.53515370382227
