idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,3.0,NaN,0.4188991191900761,0.6393401010457412,0.9887120787088092,0.9727973076498441
2,10.0,NaN,0.004107759335343423,0.003218085197519618,0.9632255623930203,0.0067819944350576014
3,7.0,NaN,0.11944580478416555,0.23695692188271186,0.9675017122050473,0.37938942511882257
4,0.0,NaN,0.49038646460776864,0.8885719751353287,1.0,0.9999999999999997
5,2.0,NaN,0.4552471452020139,0.6313081752338225,0.9885827598947078,0.9913792718752057
6,8.0,NaN,0.055064655494323766,0.10938083633479344,0.9749399472521345,0.18800160825347126
7,5.0,NaN,0.3061535376123831,0.4740955385577281,0.9854252551166849,0.7025071900255966
8,1.0,NaN,0.4889782663914668,0.7767144117913118,0.9964229075384101,0.9964229075384098
9,4.0,NaN,0.3622122171682965,0.6193320715319068,0.9819992020275438,0.8994555980576459
10,15.707,NaN,-0.001980699802309258,0.0,0.0,0.0
11,6.0,NaN,0.20175539633925924,0.34527367374323625,0.9733191490499834,0.5323170808044961
