noise_levels,zne_levels
1.0,0.42255923640288795
1.3,0.3355703504749044
1.5,0.2896616586534688
1.8,0.23494405510290653
2.0,0.20566083804796748
2.2,0.18097542781117748
2.5,0.15093093836267235
