idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,3.0,NaN,0.4188991191900761,0.6393401010457412,0.9856828758894852,0.986462606893243
2,10.0,NaN,0.004107759335343423,0.003218085197519618,0.9580239626339225,0.006787854340439787
3,7.0,NaN,0.11944580478416555,0.23695692188271186,0.9681910913068718,0.37791561704234405
4,0.0,NaN,0.49038646460776864,0.8885719751353287,1.0,0.9999999999999997
5,2.0,NaN,0.4552471452020139,0.6313081752338225,0.9886656194651969,0.9906397952295476
6,8.0,NaN,0.055064655494323766,0.10938083633479344,0.9664308984917686,0.1897839649190381
7,5.0,NaN,0.3061535376123831,0.4740955385577281,0.9827169857391491,0.7020425006476524
8,1.0,NaN,0.4889782663914668,0.7767144117913118,0.9964229075384101,0.9964229075384098
9,4.0,NaN,0.3622122171682965,0.6193320715319068,0.9843439630320866,0.9101339574415281
10,15.707,NaN,-0.001980699802309258,0.0,0.0,0.0
11,6.0,NaN,0.20175539633925924,0.34527367374323625,0.970437291697762,0.5296277553102757
