idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,ZNE_outputs_lin,CDR_outputs,vnCDR_outputs, vnCDR_outputs_lin
1,3.0,NaN,0.4188991191900761,0.9528563214028953,0.576649888731151,0.990040693317983,1.019315281178157,0.9794416291363204
2,10.0,NaN,0.004107759335343423,0.00574742811149964,0.002878659480124793,0.9654377214659745,1.8853986682827863,0.00574567651256346
3,7.0,NaN,0.11944580478416555,0.38029055676342066,0.22016053903499744,0.9674730182101298,1.172685061122772,0.3898367754889671
4,0.0,NaN,0.49038646460776864,1.0019965173649046,0.8599690240678126,1.0,1.0,1.0000000000000002
5,2.0,NaN,0.4552471452020139,0.961890799824519,0.566079522408607,0.9889580738560759,0.9912113299599213,0.9725918158639735
6,8.0,NaN,0.055064655494323766,0.17876934208882103,0.09931880374149955,0.9674559545170072,1.3519948652288032,0.17709351756888736
7,5.0,NaN,0.3061535376123831,0.700628095583836,0.42074333202605474,0.983994474730316,1.1358132243370804,0.7203286555128436
8,1.0,NaN,0.4889782663914668,0.9690458302735445,0.7282536991072188,0.9964211209539569,0.9964211209539569,0.9964211209539571
9,4.0,NaN,0.3622122171682965,0.8761109244620285,0.5536574700012185,0.9896919935805871,0.9169757625267989,0.8979578055758779
10,15.707,NaN,-0.001980699802309258,0.0,0.0,0.0,NaN,0.0
11,6.0,NaN,0.20175539633925924,0.5413137610500645,0.3166454230952215,0.9729517832885802,0.9053756665238294,0.5542122592696928
