idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,ZNE_outputs_lin,CDR_outputs,vnCDR_outputs, vnCDR_outputs_lin
1,3.0,NaN,0.4188991191900761,0.9843702711979485,0.577543942747587,0.9861997185041351,0.9758061223309342,0.9710380046583378
2,10.0,NaN,0.004107759335343423,0.0078596134730657,0.002945057094498367,0.9565057531485001,10.983574243846961,0.006987892797451823
3,7.0,NaN,0.11944580478416555,0.45427606388021813,0.2230288618760719,0.9694230411574126,1.351876450137594,0.4554901516880854
4,0.0,NaN,0.49038646460776864,1.0009920839262205,0.8590765985141094,1.0,1.0,0.9999999999999998
5,2.0,NaN,0.4552471452020139,0.952264119579608,0.5731857009071004,0.9869833088179298,0.9718930483719141,0.9626171006947182
6,8.0,NaN,0.055064655494323766,0.22551348371716795,0.10117433596307043,0.9663986383730389,1.6260548708983562,0.21314459312647976
7,5.0,NaN,0.3061535376123831,0.7511949885326479,0.4373926404359312,0.9792390742706345,1.1253281376076554,0.7446509887670949
8,1.0,NaN,0.4889782663914668,0.9585802161716096,0.7355335853980001,0.9964211209539569,0.9964211209539569,0.9964211209539566
9,4.0,NaN,0.3622122171682965,0.9295573083342888,0.5658449486951826,0.9811577936244549,1.0366022162683532,0.9182250129732763
10,15.707,NaN,-0.001980699802309258,0.0,0.0,0.0,NaN,0.0
11,6.0,NaN,0.20175539633925924,0.6045769463403642,0.32403516990910275,0.9783888923116559,1.6541859386420459,0.5796832074894045
