idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,ZNE_outputs_lin,CDR_outputs,vnCDR_outputs, vnCDR_outputs_lin
1,3.0,NaN,0.4188991191900761,0.9823692042465669,0.5771083119222074,0.9896470081734521,1.0138843727077385,0.995775759839955
2,10.0,NaN,0.004107759335343423,0.006892576836057739,0.002734847478481447,0.9589827796985277,5.727695671647092,0.006568443669720479
3,7.0,NaN,0.11944580478416555,0.3900028948340532,0.2106731530028001,0.9649372006968244,1.556406306123707,0.3953813209044579
4,0.0,NaN,0.49038646460776864,1.0009920837573698,0.8590765985141091,1.0,1.0,1.0
5,2.0,NaN,0.4552471452020139,0.9539750236210289,0.5734218747251772,0.9893001445911728,0.9563230937311445,0.9716231037694791
6,8.0,NaN,0.055064655494323766,0.19413182412837152,0.09587970152180471,0.9644569137002149,1.9059725718401508,0.23228924987335153
7,5.0,NaN,0.3061535376123831,0.7131474273989158,0.42939573156940014,0.9791501722636512,1.1827043107610915,0.7266654064188407
8,1.0,NaN,0.4889782663914668,0.9585802799170324,0.7355335943696912,0.9964229075384101,0.99642290753841,0.9964229075384099
9,4.0,NaN,0.3622122171682965,0.9159996359272226,0.5628895911552806,0.9816053026446345,1.024739867763721,0.9218651879598724
10,15.707,NaN,-0.001980699802309258,0.0,0.0,0.0,NaN,0.0
11,6.0,NaN,0.20175539633925924,0.5398424463601216,0.3101583250302706,0.9736301230258295,1.3259297540979083,0.5295466896908448
