idx,h_value,Exact_targets,Noisy_targets,ZNE_outputs,CDR_outputs,vnCDR_outputs
1,3.0,NaN,0.4188991191900761,0.5771083119222074,0.6700902091238736,0.9240855260226353
2,10.0,NaN,0.004107759335343423,0.002734847478481447,0.010271798789239665,0.0056886705638653666
3,7.0,NaN,0.11944580478416555,0.2106731530028001,0.22122708275003594,0.38086656994959855
4,0.0,NaN,0.49038646460776864,0.8590765985141091,0.8530176817746834,0.9998786616080974
5,2.0,NaN,0.4552471452020139,0.5734218747251772,0.7797069377771954,0.9844450804107334
6,8.0,NaN,0.055064655494323766,0.09587970152180471,0.10699638999296689,0.18991429255248862
7,5.0,NaN,0.3061535376123831,0.42939573156940014,0.5178499711962373,0.712841995622695
8,1.0,NaN,0.4889782663914668,0.7355335943696912,0.8765451965346363,0.996319562643154
9,4.0,NaN,0.3622122171682965,0.5628895911552806,0.6464795273269751,0.8790687828232898
10,15.707,NaN,-0.001980699802309258,0.0,0.010188515929221882,0.0
11,6.0,NaN,0.20175539633925924,0.3101583250302706,0.37005453829993284,0.5389531557539323
