time,expectation,terms_nbr
0.01,0.027815985283585944,31030.0
0.02,0.06582428998678477,31030.0
0.03,0.0795139766179817,401400.0
0.04,0.10729573659836023,401400.0
0.05,0.11552069188672612,401400.0
0.06,0.11686966381292152,401400.0
0.07,0.11714949387259109,401400.0
0.08,0.11724078451361675,401400.0
0.09,0.11727987949872472,401400.0
0.1,0.1172981574816831,401400.0
0.11,0.11730687695506378,401400.0
0.12,0.11731104891501762,401400.0
0.13,0.11731304372313887,401400.0
0.14,0.11731399639299311,401400.0
0.15,0.117314450856127,401400.0
0.16,0.11731466744584533,401400.0
0.17,0.11731477058410705,401400.0
0.18,0.11731481966281578,401400.0
0.19,0.11731484300264026,401400.0
0.2,0.11731485409608841,401400.0
