time,expectation,terms_nbr
0.01,0.0,1562.0
0.02,0.0,1562.0
0.03,0.0,1562.0
0.04,0.0,25364.0
0.05,0.0,25399.0
0.06,0.0,25399.0
0.07,0.0,25399.0
0.08,0.0,25399.0
0.09,0.0,25399.0
0.1,0.0,25399.0
0.11,0.0,25399.0
0.12,0.0,25399.0
0.13,-1.6871307665485694e-5,277434.0
0.14,-2.068805143049808e-5,278463.0
0.15,-2.513033944027145e-5,278463.0
0.16,-3.018856966191679e-5,278463.0
0.17,-3.5850424372626176e-5,278463.0
0.18,-8.122490458041355e-5,278463.0
0.19,-0.00014213976972861164,278464.0
0.2,-0.0002184857408049061,278465.0
0.21,-0.00030998782220752213,278465.0
0.22,-0.00041621295571652974,278465.0
0.23,-0.000536578498248541,278374.0
0.24,-0.0006733370749491802,278227.0
0.25,-0.000822077269880299,2.072588e6
0.26,-0.000980559428437157,2.15491e6
0.27,-0.0011456309025619485,2.165573e6
0.28,-0.001323715356472929,2.165888e6
0.29,-0.0015146128937819439,2.165954e6
0.3,-0.0017186964210101985,2.165964e6
