time,expectation,terms_nbr
0.01,9.999333371109142e-5,1779.0
0.02,0.000398675631803792,1779.0
0.03,0.0008910680488842745,1779.0
0.04,0.001568123150866388,1779.0
0.05,0.002416981876347712,1779.0
0.06,0.003421358063355944,3429.0
0.07,0.004562061842280767,4251.0
0.08,0.005817649836169475,4251.0
0.09,0.007165742931427791,28087.0
0.1,0.00864101944472863,28245.0
0.11,0.01025102292410742,28245.0
0.12,0.011979057934071793,28255.0
0.13,0.013807592871430751,28257.0
0.14,0.015718397584563948,28260.0
0.15,0.017692714150702022,33932.0
0.16,0.019711490989727378,36310.0
0.17,0.021755658962148577,38830.0
0.18,0.023806449202416913,72465.0
0.19,0.025846737216377702,74791.0
0.2,0.02786144436373866,74847.0
0.21,0.029837066944187193,74951.0
0.22,0.03176061642229411,79564.0
0.23,0.033620589842784175,119567.0
0.24,0.03540712051592814,241396.0
0.25,0.03711219297876812,283501.0
0.26,0.03873722188518977,288569.0
0.27,0.04029603702565915,301263.0
0.28,0.041801618750090294,313550.0
0.29,0.04326173654649732,326145.0
0.3,0.04468242219085033,382213.0
