time,expectation,terms_nbr
0.01,0.0,32.0
0.02,0.0,32.0
0.03,0.0,32.0
0.04,0.0,32.0
0.05,0.0,32.0
0.06,0.0,32.0
0.07,0.0,32.0
0.08,0.0,32.0
0.09,0.0,32.0
0.1,0.0,32.0
0.11,0.00099158603867973,429.0
0.12,0.0010618322342911745,429.0
0.13,0.001130288860998575,429.0
0.14,0.0011989769303693543,429.0
0.15,0.001267714452960513,429.0
0.16,0.001336305792897009,429.0
0.17,0.0014045454472706152,429.0
0.18,0.001472222074789207,429.0
0.19,0.0015391226410732014,429.0
0.2,0.0016050365418798847,429.0
0.21,0.0016697595672183177,429.0
0.22,0.001733097578711205,429.0
0.23,0.0017948697889007448,429.0
0.24,0.0018549115531328881,429.0
0.25,0.0019130766104138485,429.0
0.26,0.0019692387372192053,429.0
0.27,0.002023292805649576,429.0
0.28,0.002075155262760613,429.0
0.29,0.002124764069888828,429.0
0.3,0.0021720781583325095,429.0
