time,expectation,terms_nbr
0.01,0.0,59.0
0.02,0.00019931084853132698,1581.0
0.03,0.00029776040641642547,1581.0
0.04,0.00039574448825099336,1581.0
0.05,0.0004930845649429815,1581.0
0.06,0.0005895656453812923,1581.0
0.07,0.0006849335106006634,1581.0
0.08,0.00077889623592061,1581.0
0.09,0.0008711298920915842,1581.0
0.1,0.0009612878995967862,1581.0
0.11,0.0010490131540516012,1581.0
0.12,0.0011339517897891642,1581.0
0.13,0.0012157673344738028,25382.0
0.14,0.0012903550032228814,25403.0
0.15,0.0013618830892414744,25417.0
0.16,0.001430645355448656,25417.0
0.17,0.0014969702640163787,25417.0
0.18,0.0015611036581153889,25417.0
0.19,0.0014973516694822674,25417.0
0.2,0.0013974005750332615,25417.0
0.21,0.0012985542804790369,25417.0
0.22,0.0012011117431158771,25417.0
0.23,0.0011053426082157573,25417.0
0.24,0.0010114946639101748,25417.0
0.25,0.0009197976341148171,25417.0
0.26,0.0008304642573263602,25417.0
0.27,0.0007436895174299365,25417.0
0.28,0.0006596487973777749,25417.0
0.29,0.0005784956021739797,25417.0
0.3,0.0005003593572556537,25417.0
