time,expectation,terms_nbr
0.01,0.0,106.0
0.02,0.0,106.0
0.03,0.0,106.0
0.04,0.0,106.0
0.05,0.0,106.0
0.06,0.0,106.0
0.07,0.0,106.0
0.08,0.0,106.0
0.09,0.0,106.0
0.1,0.0,106.0
0.11,0.0,106.0
0.12,0.0,106.0
0.13,0.0,106.0
0.14,0.0,106.0
0.15,0.0,106.0
0.16,0.0,113.0
0.17,0.0,176.0
0.18,0.0,257.0
0.19,0.0009845929404483109,571.0
0.2,0.0009926668902137008,1091.0
0.21,0.0009989995061563026,1820.0
0.22,0.0010038219252033612,2723.0
0.23,0.001007438644446708,4120.0
0.24,0.0010100261927983765,4301.0
0.25,0.0010124020374330008,4490.0
0.26,0.001016394835962748,4804.0
0.27,0.0010236572029583171,5075.0
0.28,0.0010349385747635911,5082.0
0.29,0.0010511397265238994,5082.0
0.3,0.0010721712980088758,5082.0
