time,expectation,terms_nbr
0.01,9.999333371109145e-5,746.0
0.02,0.00039920372951604246,746.0
0.03,0.0008945866392030502,746.0
0.04,0.0015805676687663793,746.0
0.05,0.0024491236147898567,746.0
0.06,0.0034899076405515315,1349.0
0.07,0.0046904276648851795,1538.0
0.08,0.006036280546261004,1742.0
0.09,0.007515395554291819,7994.0
0.1,0.009155392149458546,8018.0
0.11,0.010964051697981415,8018.0
0.12,0.012931818289278297,8018.0
0.13,0.015048066153461218,8018.0
0.14,0.017301066150525686,10043.0
0.15,0.019677979257622363,10552.0
0.16,0.02216488427322917,15733.0
0.17,0.024746892091076698,17848.0
0.18,0.027408737076146102,17848.0
0.19,0.030135144336195217,17866.0
0.2,0.03291030619976693,20041.0
0.21,0.03571792543287675,40413.0
0.22,0.03854179453326456,58357.0
0.23,0.04137075071280928,60545.0
0.24,0.04420394088282698,65617.0
0.25,0.04704207730799107,68124.0
0.26,0.04988375899348568,83079.0
0.27,0.05272570626528558,83655.0
0.28,0.05556307839145485,90529.0
0.29,0.05838975538010724,109364.0
0.3,0.06119854110042398,128513.0
