time,expectation,terms_nbr
0.01,0.0,419.0
0.02,0.0,3125.0
0.03,0.0,3142.0
0.04,0.0,3142.0
0.05,0.0,3142.0
0.06,0.0,3142.0
0.07,0.0,3142.0
0.08,-9.485158390879115e-6,14414.0
0.09,-2.283322185005503e-5,14620.0
0.1,-4.173909872389385e-5,14617.0
0.11,-6.743864086227602e-5,14593.0
0.12,-0.00010105185864007829,14573.0
0.13,-0.00014379598581854686,14508.0
0.14,-0.00019697937893374897,14515.0
0.15,-0.0002610399033638504,40001.0
0.16,-0.0003378079511560081,43995.0
0.17,-0.00042903507668958397,44335.0
0.18,-0.0005361632113996006,44337.0
0.19,-0.0006605160104773788,44351.0
0.2,-0.0008034088541690031,44377.0
0.21,-0.0009661197209937415,44014.0
0.22,-0.0011498755984886368,44367.0
0.23,-0.0013558141660858117,44149.0
0.24,-0.0015849866100318556,95300.0
0.25,-0.0018383494592185779,101041.0
0.26,-0.002116758519269703,101785.0
0.27,-0.0024209672692760776,101825.0
0.28,-0.0027516239139374786,101708.0
0.29,-0.0031092758780349285,102218.0
0.3,-0.0034943718523870924,102709.0
