time,zz
0.01,9.998333599957636e-5
0.02,0.0003997335038925397
0.03,0.0008986519412482575
0.04,0.001595744228543658
0.05,0.002489624836577304
0.06,0.003578523714516235
0.07,0.004860294661222865
0.08,0.00633242540749766
0.09,0.007992049322861048
0.1,0.009835958647649155
0.11,0.011860619139690855
0.12,0.014062186014775052
0.13,0.01643652105162863
0.14,0.018979210725266173
0.15,0.021685585227403374
0.16,0.02455073822913633
0.17,0.027569547239297786
0.18,0.03073669441173838
0.19,0.03404668765619629
0.2,0.03749388191032318
0.21,0.04107250043472045
0.22,0.04477665599836964
0.23,0.04860037182850908
0.24,0.05253760220662689
0.25,0.05658225260069845
0.26,0.06072819923290329
0.27,0.06496930799167339
0.28,0.06929945260690146
0.29,0.07371253201731989
0.3,0.07820248686930241
