time,expectation,terms_nbr
0.01,0.0,59.0
0.02,0.0,59.0
0.03,0.0,59.0
0.04,0.0,59.0
0.05,0.0,59.0
0.06,0.0,59.0
0.07,0.0,59.0
0.08,0.0,59.0
0.09,0.0,59.0
0.1,0.0,59.0
0.11,0.0,59.0
0.12,0.0,59.0
0.13,0.001018810077535574,1581.0
0.14,0.001064188898855124,1581.0
0.15,0.0011111081192357844,1581.0
0.16,0.00116144619602282,1581.0
0.17,0.0012143481965908277,1581.0
0.18,0.0012689958742105772,1581.0
0.19,0.0013246155304055976,1581.0
0.2,0.0013804876458145573,1581.0
0.21,0.0014359566837197598,1581.0
0.22,0.0014904397432196894,1581.0
0.23,0.0015434330783734957,1581.0
0.24,0.0015945158751655272,1581.0
0.25,0.0016433510498088783,1581.0
0.26,0.001689683160933377,1581.0
0.27,0.0017333337853569699,1581.0
0.28,0.0017741948772042806,1581.0
0.29,0.0018122207123232106,1581.0
0.3,0.0018474190251791273,1581.0
