time,expectation,terms_nbr
0.01,0.0,1562.0
0.02,0.0,1562.0
0.03,0.0,1562.0
0.04,0.0,1562.0
0.05,0.0,1562.0
0.06,0.0,25364.0
0.07,0.0,25399.0
0.08,0.0,25399.0
0.09,0.0,25399.0
0.1,0.0,25399.0
0.11,0.0,25399.0
0.12,0.0,25399.0
0.13,0.0,25399.0
0.14,0.0,25399.0
0.15,0.0,25399.0
0.16,0.0,25400.0
0.17,-3.137757553057134e-5,272419.0
0.18,-3.624913357245635e-5,274834.0
0.19,-4.181223302569257e-5,275344.0
0.2,-4.800871594538647e-5,275345.0
0.21,-5.478603633156878e-5,275345.0
0.22,-6.208754935803533e-5,275345.0
0.23,-6.986342513762586e-5,275345.0
0.24,-0.00012115448089676535,275345.0
0.25,-0.00022524963375381664,275345.0
0.26,-0.00034899290805538735,275346.0
0.27,-0.0004905969828658173,275310.0
0.28,-0.0006480188308678744,275251.0
0.29,-0.0008197303684857817,275184.0
0.3,-0.0010065438218474234,275108.0
