time,expectation,terms_nbr
0.01,0.022886982929274383,1713.0
0.02,0.05777461947889403,31030.0
0.03,0.07298266346757348,31030.0
0.04,0.07499189476590908,31030.0
0.05,0.07523290212536637,31030.0
0.06,0.0752729207779248,31030.0
0.07,0.07528376280593357,31030.0
0.08,0.07528775960408185,31030.0
0.09,0.07528939446939291,31030.0
0.1,0.07529008034295588,31030.0
0.11,0.07529036932390538,31030.0
0.12,0.07529049100008522,31030.0
0.13,0.07529054214624097,31030.0
0.14,0.07529056360753257,31030.0
0.15,0.07529057259811946,31030.0
0.16,0.07529057635889651,31030.0
0.17,0.07529057792994347,31030.0
0.18,0.0752905785854554,31030.0
0.19,0.07529057885866948,31030.0
0.2,0.07529057897243306,31030.0
