time,expectation,terms_nbr
0.01,9.999333371109145e-5,746.0
0.02,0.00039920372951604246,1349.0
0.03,0.0008945874570194433,7994.0
0.04,0.0015846509511515034,8018.0
0.05,0.002469727969601541,8018.0
0.06,0.0035467325761777773,8018.0
0.07,0.004811723587405374,10147.0
0.08,0.006259817375548661,17548.0
0.09,0.007885160071891367,17866.0
0.1,0.009680932170017434,56533.0
0.11,0.011640060246994651,57383.0
0.12,0.013756310102893125,60370.0
0.13,0.016023014267856774,65666.0
0.14,0.01843284192116403,83150.0
0.15,0.020977787043279565,120577.0
0.16,0.023649169509130062,126448.0
0.17,0.02643767173095105,133995.0
0.18,0.029333398807824592,222220.0
0.19,0.03232589361532585,316597.0
0.2,0.03540426543271841,356072.0
0.21,0.03855760597596697,377656.0
0.22,0.04177513461459342,444665.0
0.23,0.045046157432036195,507493.0
0.24,0.0483600348828855,633481.0
0.25,0.0517061627058875,701758.0
0.26,0.05507397007563527,797436.0
0.27,0.05845293871844298,963731.0
0.28,0.061832625521649455,1.215943e6
0.29,0.0652026864635252,1.433064e6
0.3,0.06855291970683984,1.637987e6
