time,expectation,terms_nbr
0.01,0.021384484712451305,1713.0
0.02,0.033854277368429775,1713.0
0.03,0.035156065804373755,1713.0
0.04,0.03527799583962605,1713.0
0.05,0.035295139181242836,1713.0
0.06,0.03529916354975755,1713.0
0.07,0.03530039197531643,1713.0
0.08,0.035300796454652124,1713.0
0.09,0.03530093191525909,1713.0
0.1,0.03530097741888334,1713.0
0.11,0.035300992704126385,1713.0
0.12,0.03530099783534121,1713.0
0.13,0.03530099955659772,1713.0
0.14,0.03530100013356736,1713.0
0.15,0.03530100032683359,1713.0
0.16,0.035301000391528274,1713.0
0.17,0.035301000413170865,1713.0
0.18,0.03530100042040646,1713.0
0.19,0.035301000422824226,1713.0
0.2,0.03530100042363157,1713.0
