time,expectation,termscount
0.01,0.0,1278.0
0.02,0.00019918363134028023,1713.0
0.03,0.0006813997047088418,5367.0
0.04,0.001308217599031692,15979.0
0.05,0.002032274724927229,15979.0
0.06,0.002802980576892905,39730.0
0.07,0.003572523308519148,50640.0
0.08,0.004303061719190846,50692.0
0.09,0.005141248088638093,139900.0
0.1,0.00608725470445565,139926.0
0.11,0.007065686858033195,258684.0
0.12,0.008017652407285499,258684.0
0.13,0.008896221986094362,258684.0
0.14,0.00967048165083577,258684.0
0.15,0.01032292249926967,933918.0
0.16,0.010850879398871421,1.409316e6
0.17,0.011314263669990048,1.409316e6
0.18,0.01179540764448404,1.409316e6
0.19,0.012308670896165153,1.410047e6
0.2,0.012832778104805518,1.413376e6
0.21,0.013339021192776275,3.988205e6
0.22,0.01382437207450379,5.26828e6
0.23,0.014300825462014641,5.268517e6
0.24,0.014721982369697507,5.339959e6
0.25,0.015059642150025561,6.305493e6
0.26,0.015309266862832282,6.314281e6
0.27,0.015495927920034057,1.3344261e7
0.28,0.01567491760196946,1.6202912e7
0.29,0.01588573633659559,1.6203283e7
0.3,0.01613664862433392,1.6203283e7
