time,expectation
0.01,-0.03262269832117145
0.02,-0.06675227349964126
0.03,-0.07734621594663788
0.04,-0.08013089488347856
0.05,-0.08084738256891374
0.06,-0.08102743648212245
0.07,-0.08107121165264085
0.08,-0.08108148447926272
0.09,-0.0810839124855515
0.1,-0.08108461503366135
0.11,-0.08108494687637792
0.12,-0.08108517451399988
0.13,-0.0810853441029271
0.14,-0.08108546733149744
0.15,-0.08108555349988301
0.16,-0.08108561188232248
0.17,-0.08108565052642905
0.18,-0.08108567567363652
0.19,-0.08108569183261462
0.2,-0.08108570211663456
