time,expectation
0.01,0.009897792499858383
0.02,0.019584281448818675
0.03,0.029051243952627464
0.04,0.03829178489341684
0.05,0.04730019446244322
0.06,0.05607191049520399
0.07,0.06460346862283028
0.08,0.07289245999309393
0.09,0.08093750608353159
0.1,0.08873820114841623
0.11,0.09629504300934455
0.12,0.1036093605311763
0.13,0.11068323912922705
0.14,0.11751944554521376
0.15,0.12412135334759676
0.16,0.13049287208486626
0.17,0.1366383808504126
0.18,0.1425626644339793
0.19,0.14827085200454088
0.2,0.1537683587858684
