time,expectation,termscount
0.01,9.99933337110914e-5,31001.0
0.02,0.00039979156125894615,31030.0
0.03,0.0008987948605910119,31030.0
0.04,0.0015958934390548983,31030.0
0.05,0.0024893277179027055,399832.0
0.06,0.003576913325428324,401400.0
0.07,0.004856475934499537,401400.0
0.08,0.006325444267388456,401400.0
0.09,0.007980764010744728,401400.0
0.1,0.009818838986222928,401400.0
0.11,0.011835449790342263,3.921878e6
0.12,0.01402576578265463,3.958866e6
0.13,0.01638466369040511,3.958866e6
0.14,0.018906841307145053,3.958893e6
0.15,0.021586776112412828,3.958921e6
0.16,0.02441867551157083,3.958921e6
0.17,0.02739641689802544,3.958921e6
0.18,0.030513476423352004,3.0505357e7
0.19,0.0337628679447337,3.105109e7
0.2,0.03713721850944811,3.105109e7
