time,expectation
0.01,9.99933337110914e-5
0.02,0.00039979156125894615
0.03,0.0008987948605910119
0.04,0.0015958934390548983
0.05,0.0024893277179027055
0.06,0.003576913325428324
0.07,0.004856475934499537
0.08,0.006325444267388456
0.09,0.007980764010744728
0.1,0.009818838986222928
0.11,0.011835449790342263
0.12,0.014025765783160046
0.13,0.01638466370558319
0.14,0.018906841443955727
0.15,0.021586776821465235
0.16,0.02441867816753526
0.17,0.027396424917774092
0.18,0.03051349717308277
0.19,0.03376291529604261
0.2,0.03713731167864448
