time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039969072016330135
0.03,-0.0008983668501470108
0.04,-0.001594660844128863
0.05,-0.0024864924900161963
0.06,-0.00357138805615168
0.07,-0.00484675670344582
0.08,-0.006309462276640232
0.09,-0.007955754548211114
0.1,-0.009781175754520106
0.11,-0.011780444633707237
0.12,-0.013947346725418867
0.13,-0.016274667746909107
0.14,-0.018754090662192666
0.15,-0.02137609954909423
0.16,-0.02412991834138444
0.17,-0.027003496860820604
0.18,-0.029983553341029586
0.19,-0.03305567828807947
0.2,-0.036204500601831766
