time,expectation
0.01,0.009897713330364141
0.02,0.019584136482317317
0.03,0.029050926387364957
0.04,0.03829058677714282
0.05,0.047296334449816964
0.06,0.056062007754569466
0.07,0.06458201540165959
0.08,0.0728513209223328
0.09,0.08086545696686814
0.1,0.08862056219531503
0.11,0.09611343301082553
0.12,0.10334158249011663
0.13,0.11030329943226473
0.14,0.11699770140501932
0.15,0.12342477688390183
0.16,0.1295854129151426
0.17,0.135481406086074
0.18,0.14111545586538468
0.19,0.1464911405101986
0.2,0.1516128766800162
