time,expectation,termscount
0.01,0.0,466.0
0.02,0.0,1278.0
0.03,0.0,1278.0
0.04,0.0,1278.0
0.05,0.0,4932.0
0.06,0.0005459843098425163,5367.0
0.07,0.0011369282411637783,5367.0
0.08,0.0022065431671616934,5367.0
0.09,0.0031624342279566622,15979.0
0.1,0.003975531137794396,15979.0
0.11,0.00463869011116247,15979.0
0.12,0.005161858093941019,39730.0
0.13,0.005563981016829626,39730.0
0.14,0.005866097762124237,39730.0
0.15,0.006086322726932841,39730.0
0.16,0.006238379786734377,39730.0
0.17,0.006332381931914638,39730.0
0.18,0.006376292683737468,39730.0
0.19,0.006377187937062975,81562.0
0.2,0.0063419957696741035,128938.0
0.21,0.006278007565555275,128951.0
0.22,0.00619406387744552,141515.0
0.23,0.006100722162892597,216927.0
0.24,0.006008738993666483,247693.0
0.25,0.00592698447923173,247693.0
0.26,0.0058606501129688645,247693.0
0.27,0.005810611848149068,247693.0
0.28,0.005774235036221979,247693.0
0.29,0.005746903906750409,247882.0
0.3,0.005723526961064761,248449.0
