time,zz
0.01,9.990340705966753e-5
0.02,0.0003984580419776143
0.03,0.0008922234485244818
0.04,0.0015755521916748713
0.05,0.0024407163481764637
0.06,0.00347807781021873
0.07,0.004676296095184784
0.08,0.006022566188173401
0.09,0.007502878182075113
0.1,0.009102290141871108
0.11,0.010805205694918519
0.12,0.012595648300024114
0.13,0.014457524916620924
0.14,0.01637487280840518
0.15,0.018332084393232875
0.16,0.020314106312439323
0.17,0.022306610163170877
0.18,0.024296133552097282
0.19,0.02627019123634397
0.2,0.02821735708047693
0.21,0.030127318354083395
0.22,0.031990904513419
0.23,0.03380009305456001
0.24,0.03554799530532001
0.25,0.0372288251561357
0.26,0.03883785373756406
0.27,0.040371352957213114
0.28,0.04182653063529854
0.29,0.043201459747799875
0.3,0.04449500401946342
