time,expectation
0.01,0.13422283664968207
0.02,0.15386108353905195
0.03,0.15436805239699983
0.04,0.154117898755043
0.05,0.15398598723381868
0.06,0.15392864021062708
0.07,0.15390438417383362
0.08,0.1538941967278958
0.09,0.15388993072029014
0.1,0.15388814719638175
0.11,0.15388740228105147
0.12,0.1538870913640568
0.13,0.15388696165615653
0.14,0.1538869075664791
0.15,0.1538868850182561
0.16,0.1538868756215692
0.17,0.15388687170675613
0.18,0.15388687007622973
0.19,0.1538868693972911
0.2,0.1538868691146588
