time,expectation,termscount
0.01,0.009897713330364141,3457.0
0.02,0.019584165440821855,3520.0
0.03,0.029051234513513678,3520.0
0.04,0.03829200532480177,15210.0
0.05,0.04730074818190956,16714.0
0.06,0.0560728932851563,16714.0
0.07,0.06460499564614128,16714.0
0.08,0.07289468642628504,16714.0
0.09,0.080940616733769,21037.0
0.1,0.08874239536430317,44200.0
0.11,0.09630052210845627,50629.0
0.12,0.10361631865218793,50681.0
0.13,0.11069185804928842,50907.0
0.14,0.1175298934165091,51037.0
0.15,0.12413378683904458,51063.0
0.16,0.13050743939726128,69033.0
0.17,0.13665522309461237,90552.0
0.18,0.1425819153510112,101958.0
0.19,0.14829263663164644,101998.0
0.2,0.15379279164083154,102175.0
