time,expectation
0.01,0.1306636453872931
0.02,0.15377647786227566
0.03,0.1544346180497481
0.04,0.15415114467403562
0.05,0.1540001355664662
0.06,0.15393453358981052
0.07,0.15390682739116296
0.08,0.15389520778611698
0.09,0.153890348718477
0.1,0.15388831990457416
0.11,0.1538874736105537
0.12,0.15388712081389516
0.13,0.15388697381169705
0.14,0.15388691258242668
0.15,0.15388688708755519
0.16,0.15388687647503527
0.17,0.15388687205867393
0.18,0.1538868702213026
0.19,0.15388686945708058
0.2,0.15388686913929336
