time,expectation,termscount
0.01,0.009897970629660345,3574.0
0.02,0.019584261105356653,3574.0
0.03,0.02904761175942031,89083.0
0.04,0.0382762978205024,89245.0
0.05,0.04726595119957077,89272.0
0.06,0.05601294133958825,89272.0
0.07,0.06451369195522491,89272.0
0.08,0.07276420392989162,89272.0
0.09,0.08075964604686259,89272.0
0.1,0.08849407662424033,89272.0
0.11,0.09596034201486235,1.257479e6
0.12,0.10315037411631457,1.535496e6
0.13,0.1100592048273606,1.543391e6
0.14,0.11668921711263855,1.543699e6
0.15,0.12304789288696785,1.543699e6
0.16,0.1291451973886751,1.543699e6
0.17,0.13499171202775362,1.543699e6
0.18,0.14059740087073372,1.543699e6
0.19,0.1459708908409668,1.543699e6
0.2,0.15111915050442506,1.543699e6
