time,expectation,termscount
0.01,0.009897792499858383,469.0
0.02,0.019584281517104812,469.0
0.03,0.029051054628670653,3457.0
0.04,0.03829074043083222,3520.0
0.05,0.04729771421338155,3520.0
0.06,0.056067515343453576,3520.0
0.07,0.06459677756240724,3520.0
0.08,0.07288316597252684,3520.0
0.09,0.08092530556833358,3520.0
0.1,0.08872270383202371,6742.0
0.11,0.09627567304193901,15612.0
0.12,0.10358531245262925,16675.0
0.13,0.11065355833511636,16714.0
0.14,0.11748312178245435,16714.0
0.15,0.12407739502871687,16714.0
0.16,0.13044036052839544,16714.0
0.17,0.13657650409772604,16714.0
0.18,0.14249073294935902,16714.0
0.19,0.14818829921926963,16714.0
0.2,0.15367472937935803,19768.0
