time,expectation,termscount
0.01,-9.998333504430477e-5,172.0
0.02,-0.00039766689536742514,198.0
0.03,-0.0008855829846354138,198.0
0.04,-0.0015512499251730944,198.0
0.05,-0.0023779653564532095,198.0
0.06,-0.003345814505409747,250.0
0.07,-0.00443278529673145,250.0
0.08,-0.005615883212461693,250.0
0.09,-0.006872154701230199,250.0
0.1,-0.008179553335387814,250.0
0.11,-0.009517611704173637,250.0
0.12,-0.010867908913375014,250.0
0.13,-0.012214344998563546,250.0
0.14,-0.013543247994327325,250.0
0.15,-0.014843346939841382,276.0
0.16,-0.01610564591777382,300.0
0.17,-0.01732323196544312,300.0
0.18,-0.018491045016052022,300.0
0.19,-0.019605632302389906,300.0
0.2,-0.020664903880373602,300.0
