time,expectation
0.01,0.0927652302679086
0.02,0.09600807140682935
0.03,0.09586962415628028
0.04,0.09581065010517774
0.05,0.09579536355930807
0.06,0.09579159208989219
0.07,0.09579067314191557
0.08,0.09579045050470611
0.09,0.09579039674075707
0.1,0.09579038378410563
0.11,0.09579038066606463
0.12,0.09579037991649589
0.13,0.09579037973645636
0.14,0.09579037969324496
0.15,0.09579037968288116
0.16,0.09579037968039686
0.17,0.09579037967980197
0.18,0.09579037967965932
0.19,0.09579037967962532
0.2,0.09579037967961707
