time,expectation,termscount
0.01,0.0,1278.0
0.02,0.0,1278.0
0.03,0.0002964167895707394,1713.0
0.04,0.0009531814406277242,5367.0
0.05,0.0017118855340542663,5367.0
0.06,0.0025168180964808763,15979.0
0.07,0.0033139773053519187,15979.0
0.08,0.004060809482189618,31327.0
0.09,0.0047282939739741615,39730.0
0.1,0.005300076297692642,39730.0
0.11,0.0057698115777035375,39730.0
0.12,0.006137925355846787,51364.0
0.13,0.0064378902804312806,139900.0
0.14,0.0069554485411560275,143272.0
0.15,0.0076182163125602985,258655.0
0.16,0.008304725552210875,258655.0
0.17,0.008945252263128763,258655.0
0.18,0.00950452586779054,258655.0
0.19,0.009968045979914656,258656.0
0.2,0.010332982608699484,260242.0
0.21,0.010602887216841664,800839.0
0.22,0.010784929372759933,972391.0
0.23,0.01088881541757507,1.275862e6
0.24,0.01092679064865117,1.275862e6
0.25,0.01091319684506504,1.275861e6
0.26,0.010862685503770371,1.2779e6
0.27,0.010788061342715006,1.365751e6
0.28,0.01070144413982283,1.408941e6
0.29,0.010623622030347007,1.409291e6
0.3,0.010647948062312828,2.199516e6
