time,expectation
0.01,0.009897713330364141
0.02,0.01958416459669466
0.03,0.02905123219741483
0.04,0.038292002870838504
0.05,0.047300747796629676
0.06,0.0560728877562701
0.07,0.06460496297804012
0.08,0.07289459399710464
0.09,0.08094042510500524
0.1,0.0887420616091883
0.11,0.09630000241311427
0.12,0.10361556930481751
0.13,0.11069083482857053
0.14,0.11752855096715274
0.15,0.1241320786631525
0.16,0.13050531833283385
0.17,0.13665264211526643
0.18,0.14257882853378057
0.19,0.14828900012059176
0.2,0.15378856443734978
