time,expectation,termscount
0.01,0.009897713330364141,3457.0
0.02,0.019584165440821855,3520.0
0.03,0.029051234513513678,3520.0
0.04,0.03829200532480177,9540.0
0.05,0.04730074769117623,11044.0
0.06,0.05607288548736349,11044.0
0.07,0.06460495496757047,11044.0
0.08,0.07289455081248931,11044.0
0.09,0.08094026422302694,14592.0
0.1,0.08874161506743511,20834.0
0.11,0.09629898012182712,22279.0
0.12,0.1036135194445863,22331.0
0.13,0.11068710240847023,22549.0
0.14,0.11752223470297421,22684.0
0.15,0.12412198748192227,22711.0
0.16,0.13048992958361572,29687.0
0.17,0.13663006350151563,33855.0
0.18,0.1425467655584192,35475.0
0.19,0.14824473054252096,35578.0
0.2,0.15372892088613688,35734.0
