time,expectation,termscount
0.01,0.0,60.0
0.02,0.0,60.0
0.03,0.0,60.0
0.04,0.0,60.0
0.05,0.0,60.0
0.06,0.0005667626497597172,1713.0
0.07,0.0017479785153545237,1713.0
0.08,0.003047767437633673,1713.0
0.09,0.004449688832830084,1713.0
0.1,0.0059358561983782815,1713.0
0.11,0.007487337164279235,1713.0
0.12,0.009084627842095218,1713.0
0.13,0.01070817578433242,1713.0
0.14,0.012338918534094795,1713.0
0.15,0.013958801510299313,1713.0
0.16,0.01555124038163429,1713.0
0.17,0.01710149882454935,1713.0
0.18,0.01859696156333544,1713.0
0.19,0.02002729328513915,1713.0
0.2,0.021384484712451305,1713.0
0.21,0.022662796328242252,1713.0
0.22,0.02385861698656308,1713.0
0.23,0.024970258479072104,1713.0
0.24,0.02599770816900883,1713.0
0.25,0.026942360537615444,1713.0
0.26,0.027806745606409104,1713.0
0.27,0.028594268428917352,1713.0
0.28,0.02930896982486426,1713.0
0.29,0.029955314738171014,1713.0
0.3,0.030538011341691585,1713.0
