time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039766689536742514
0.03,-0.0008855829846354138
0.04,-0.0015512499251730944
0.05,-0.0023779653564532095
0.06,-0.003345814505409747
0.07,-0.00443278529673145
0.08,-0.005615883212461693
0.09,-0.006872154701230199
0.1,-0.008179553335387814
0.11,-0.009517611704173637
0.12,-0.010867908913375014
0.13,-0.012214344998563546
0.14,-0.013543247994327325
0.15,-0.014843346939841382
0.16,-0.01610564591777382
0.17,-0.01732323196544312
0.18,-0.018491045016052022
0.19,-0.019605632302389906
0.2,-0.020664903880373602
