time,expectation
0.01,-0.020664901600098467
0.02,-0.03208842677929061
0.03,-0.03461842348391164
0.04,-0.03514114186431082
0.05,-0.03524947576473528
0.06,-0.03527246366279146
0.07,-0.035277594195394314
0.08,-0.035278847307300513
0.09,-0.03527919637297001
0.1,-0.035279309040871905
0.11,-0.035279350212748556
0.12,-0.035279366539060324
0.13,-0.035279373338373624
0.14,-0.03527937631578371
0.15,-0.03527937775249795
0.16,-0.03527937854831121
0.17,-0.0352793790355192
0.18,-0.03527937934049952
0.19,-0.03527937952593778
0.2,-0.03527937963349723
