time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039825733615194
0.03,-0.0008896309523661979
0.04,-0.0015654729324111672
0.05,-0.002413909515619809
0.06,-0.0034201097969628795
0.07,-0.0046083470024492965
0.08,-0.005982430326096578
0.09,-0.007535166986285205
0.1,-0.009257906933863946
0.11,-0.011140380404233798
0.12,-0.013170580689874842
0.13,-0.015334711245948535
0.14,-0.017617212798010644
0.15,-0.020000880887778634
0.16,-0.022467077548635524
0.17,-0.024996033088660694
0.18,-0.02757567575853457
0.19,-0.030212586883710733
0.2,-0.03291050211148798
