time,expectation,termscount
0.01,9.99933337110914e-5,1713.0
0.02,0.00039906359534565636,31001.0
0.03,0.0008969817799538385,31030.0
0.04,0.0015929902549920937,31030.0
0.05,0.002485323139883968,31030.0
0.06,0.003571379135898375,314304.0
0.07,0.004847845436017883,316250.0
0.08,0.006312078191484971,316250.0
0.09,0.007961120389564766,316250.0
0.1,0.009791457325431916,316250.0
0.11,0.011798939466904699,316250.0
0.12,0.013978685470358578,316250.0
0.13,0.016324969625223527,1.420415e6
0.14,0.018831177325551927,1.463786e6
0.15,0.021490153733552918,1.463786e6
0.16,0.024294340313775805,1.463786e6
0.17,0.027235689304874106,1.463813e6
0.18,0.030305591285512138,1.463841e6
0.19,0.03349482456672972,1.463841e6
0.2,0.03679353005063439,1.463841e6
