time,expectation
0.01,-9.998333504430477e-5
0.02,-0.000399691885237219
0.03,-0.0008983809974750711
0.04,-0.0015947308242267716
0.05,-0.0024867219634974137
0.06,-0.003571792196344284
0.07,-0.004847334826039907
0.08,-0.006310223626880223
0.09,-0.007956724736898636
0.1,-0.00978240536236424
0.11,-0.011782019957634164
0.12,-0.013949394550598796
0.13,-0.016277359463761912
0.14,-0.01875765436562965
0.15,-0.021380832102767186
0.16,-0.02413619664804011
0.17,-0.02701178756346753
0.18,-0.02999442023138913
0.19,-0.03306978677014147
0.2,-0.03622261848111568
