time,zz
0.01,9.9983335999575e-5
0.02,0.00039973350389252687
0.03,0.000898651941248239
0.04,0.001595744228543635
0.05,0.0024896248365773067
0.06,0.0035785237145162727
0.07,0.004860294661222812
0.08,0.0063324254074976416
0.09,0.007992049322861024
0.1,0.009835958647649162
0.11,0.011860619139690873
0.12,0.014062186014775204
0.13,0.016436521051628634
0.14,0.018979210725266225
0.15,0.02168558522740341
0.16,0.02455073822913631
0.17,0.02756954723929784
0.18,0.0307366944117385
0.19,0.03404668765619632
0.2,0.03749388191032337
0.21,0.04107250043472061
0.22,0.04477665599836986
0.23,0.04860037182850927
0.24,0.05253760220662683
0.25,0.056582252600698574
0.26,0.06072819923290364
0.27,0.06496930799167355
0.28,0.06929945260690161
0.29,0.07371253201732024
0.3,0.07820248686930287
