time,expectation
0.01,-9.998333504430477e-5
0.02,-0.00039825733615194
0.03,-0.0008896309523661979
0.04,-0.0015768091071748328
0.05,-0.0024596018240115574
0.06,-0.0035349758551977933
0.07,-0.004798814022568925
0.08,-0.0062456990459819305
0.09,-0.007868699413871924
0.1,-0.009659176957467657
0.11,-0.011610317250893579
0.12,-0.013718274443004993
0.13,-0.015978283971888683
0.14,-0.01838461619474297
0.15,-0.020930514478236496
0.16,-0.023608121422085824
0.17,-0.02640840391830934
0.18,-0.029321089565474377
0.19,-0.032334627617931495
0.2,-0.03543620461961554
