time,expectation,termscount
0.01,9.99933337110914e-5,1713.0
0.02,0.00039868525535552847,1713.0
0.03,0.0008915257150859551,1713.0
0.04,0.0015704259233470356,1713.0
0.05,0.002423938287923119,1713.0
0.06,0.0034375298678903103,1713.0
0.07,0.004593953466080218,1713.0
0.08,0.005873715250756403,1713.0
0.09,0.00726777922585984,31001.0
0.1,0.00882692598365052,31030.0
0.11,0.010561163448056425,31030.0
0.12,0.01245813132574909,31030.0
0.13,0.014504141890484584,31030.0
0.14,0.016684090078715796,31030.0
0.15,0.018981437489434275,31030.0
0.16,0.021378285155907985,31030.0
0.17,0.023855541879565054,31030.0
0.18,0.02639318599877918,31030.0
0.19,0.028970609545982625,31030.0
0.2,0.03156702577168137,31030.0
