time,expectation,termscount
0.01,0.009897683644923825,88.0
0.02,0.019455787981843366,88.0
0.03,0.02853356479110348,88.0
0.04,0.03701856269160001,88.0
0.05,0.04483144749930818,88.0
0.06,0.051926263333092554,3574.0
0.07,0.05892890243413786,3574.0
0.08,0.06591274875281246,3574.0
0.09,0.07282245175166992,3574.0
0.1,0.07959983498224217,3574.0
0.11,0.08618724288415093,3574.0
0.12,0.0925306599362956,3574.0
0.13,0.09858235646439094,3574.0
0.14,0.10430287240758244,3574.0
0.15,0.10966224179659327,3574.0
0.16,0.11464045532583575,3574.0
0.17,0.11922723959460373,3574.0
0.18,0.12342128822656367,3574.0
0.19,0.1272291080785812,3574.0
0.2,0.1306636453872931,3574.0
