time,zz
0.01,9.998333599957999e-5
0.02,0.0003997335038925359
0.03,0.0008986519412482597
0.04,0.0015957442285436754
0.05,0.0024896248365773276
0.06,0.003578523714516335
0.07,0.004860294661222856
0.08,0.00633242540749769
0.09,0.007992049322861074
0.1,0.009835958647649226
0.11,0.011860619139690894
0.12,0.014062186014775236
0.13,0.01643652105162871
0.14,0.018979210725266364
0.15,0.021685585227403482
0.16,0.024550738229136344
0.17,0.027569547239297894
0.18,0.030736694411738628
0.19,0.03404668765619648
0.2,0.03749388191032349
0.21,0.04107250043472073
0.22,0.04477665599836987
0.23,0.04860037182850936
0.24,0.05253760220662685
0.25,0.05658225260069864
0.26,0.060728199232903644
0.27,0.0649693079916737
0.28,0.06929945260690162
0.29,0.07371253201732027
0.3,0.07820248686930277
