nqubits,rel_err_ratio_gate,rel_err_ratio_naive
2,1197.3363927068299,1055.587618642534
4,1075.9926074020182,1047.4156353527267
6,963.640286461626,912.0264167165255
8,1088.0032044739698,1047.7778072294948
12,1094.7907220103207,1175.0387131600276
16,1111.6616154466935,1111.2553482564729
32,1060.8359486158947,1066.8265623780808
64,1009.4716064454863,1165.1611164462101
